Title,Studio,Opening,Theaters,Date,Movie ID,Budget,Runtime,Genres,Directing,Producing,Writing,Rating
Avengers: Endgame,BV,357115007,4662,2019-04-26,299534,356000000,181.0,"['Adventure', 'Science Fiction', 'Action']","['Joe Russo', 'Anthony Russo', 'Chris Castaldi', 'Simon Downes', 'Mark Johnston', 'Edward Catley']","['Kevin Feige', 'Jon Favreau', 'Sarah Finn', 'Victoria Alonso', 'Jason Tamez', 'Jason B. Stamey', 'Nicholas A. Mudd', 'James Gunn', 'Stan Lee', 'Mitchell Bell', 'Ari Costa', 'Prashant Sharan', 'Trinh Tran', 'Zack Duncan', 'Lulu Morgan', 'Amanda L. Akins', 'Alex Cody', 'Molly Doyle', 'Johnny Gidcomb', 'Nicholas A. Mudd', 'Chase Paris', 'Ted Alvarez', 'Chris Cloud', 'David Crigler', 'James Lin', 'Justin Christopher Ray', 'Jorge Saumell', 'Antony Scott', 'Nancy Wong', 'Michael Grillo', 'Christopher Markus', 'Stephen McFeely']","['Christopher Markus', 'Stephen McFeely', 'Jim Starlin', 'Jack Kirby', 'Christopher Markus', 'Stephen McFeely', 'Stan Lee']",PG-13
Avengers: Infinity War,BV,257698183,4474,2018-04-27,299536,300000000,149.0,"['Adventure', 'Action', 'Fantasy']","['Joe Russo', 'Anthony Russo', 'Chris Castaldi', 'Simon Downes', 'Mark Rossini', 'Eli Sasich', 'Hajar Mainl', 'Lori Grabowski']","['Kevin Feige', 'Jon Favreau', ""Louis D'Esposito"", 'Stan Lee', 'Victoria Alonso', 'Alan Fine', 'Sarah Finn', 'James Gunn', 'Mitchell Bell', 'Jamie Lengyel', 'Lulu Morgan', 'JoAnn Perritano', 'Jason Tamez', 'Johnny Gidcomb', 'Tara Feldstein', 'Chase Paris', 'Jason B. Stamey', 'Adriana Del Valle', 'Molly Doyle', 'Trinh Tran']","['Stephen McFeely', 'Jack Kirby', 'Christopher Markus', 'Jim Starlin']",PG-13
Star Wars: The Force Awakens,BV,247966675,4134,2015-12-18,140607,245000000,136.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",['J.J. Abrams'],"['Bryan Burk', 'J.J. Abrams', 'Kathleen Kennedy', 'Nina Gold', 'April Webster', 'Alyssa Weisberg', 'Theo Park', 'Jessica Sherman', 'Celia Barnett', 'Michael Arndt']","['J.J. Abrams', 'Lawrence Kasdan', 'George Lucas', 'Michael Arndt']",PG-13
Star Wars: The Last Jedi,BV,220009584,4232,2017-12-15,181808,200000000,152.0,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']","['Rian Johnson', 'Jamie Christopher', 'Paula Casarin']","['Kathleen Kennedy', 'Ram Bergman', 'J.J. Abrams', 'Tom Karnowski', 'Nina Gold', 'Milivoj Mestrovic', 'Mary Vernieu', 'Martin Joy', 'Martin Joy', 'Polly Hope', 'Adam Teeuw', 'Terri Douglas', 'Marisol Roncali', 'Martin Ware']","['George Lucas', 'Rian Johnson']",PG-13
Jurassic World,Uni.,208806270,4274,2015-06-12,135397,150000000,124.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Colin Trevorrow', 'Chris Castaldi', 'Zack Smith', 'Jason Roberts', 'David Leitch']","['Steven Spielberg', 'Frank Marshall', 'Patrick Crowley', 'Christopher Raimo', 'Thomas Tull', 'John Papsidera', 'Scott Trimble', ""Pei'an Lau"", 'Ty Warren', 'Anthony Chiarantano', 'Russell Allen']","['Michael Crichton', 'Rick Jaffa', 'Amanda Silver', 'Derek Connolly', 'Rick Jaffa', 'Amanda Silver', 'Timothy Burgard', 'Robert Consing', 'Collin Grant', 'Philip Keller', 'David Lowery', 'Dan Sweetman', 'Amy Lynn Umezu', 'Colin Trevorrow', 'John Coven']",PG-13
Marvel's The Avengers,BV,207438708,4349,2012-05-04,24428,220000000,143.0,"['Science Fiction', 'Action', 'Adventure']","['Joss Whedon', 'Trudy Ramirez', 'John Mahaffie']","['Avi Arad', 'Chris Brigham', ""Louis D'Esposito"", 'Jon Favreau', 'Kevin Feige', 'Victoria Alonso', 'Alan Fine', 'Jeremy Latcham', 'Stan Lee', 'Sarah Finn', 'Randi Hiller', 'Don J. Hug', 'Nadia Paine', 'Aaron Spaulding', 'David Rumble', 'Tom Moisides', 'Ruben Malaret', 'Scott Allen Logan', 'Trinh Tran']","['Joss Whedon', 'Zak Penn', 'Joss Whedon', 'Jack Kirby', 'Stan Lee', 'Jane Wu']",PG-13
Black Panther,BV,202003951,4020,2018-02-16,284054,200000000,134.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ryan Coogler', 'Dawn Gilliam', 'Lisa C. Satriano']","['Kevin Feige', 'Sarah Finn', 'Molly Doyle', 'Nicholas A. Mudd', 'Jason B. Stamey', 'Victoria Alonso', 'Jeffrey Chernov', ""Louis D'Esposito"", 'David J. Grant', 'Stan Lee', 'Nate Moore', 'Douglas Dresser', 'Helen Pollak', 'Scott Thaler', 'Jason Zorigian', 'Cale Wilbanks']","['Joe Robert Cole', 'Ryan Coogler', 'Jack Kirby', 'Stan Lee', 'Simeon Wilkins']",PG-13
Avengers: Age of Ultron,BV,191271109,4276,2015-05-01,99861,280000000,141.0,"['Action', 'Adventure', 'Science Fiction']","['Joss Whedon', 'Paula Casarin', 'John Mahaffie']","['Kevin Feige', 'Jeremy Latcham', 'Stan Lee', ""Louis D'Esposito"", 'Jon Favreau', 'Alan Fine', 'Sarah Finn', 'Reg Poerscout-Edgerton', 'Mitchell Bell', 'Daniel S. Kaminsky', 'Victoria Alonso', 'Patricia Whitcher', 'Jamie Christopher', 'Luca Marco Paracels', 'Nicholas Simon', 'Jason B. Stamey', 'Tamara Hunter', 'Lillie Jeffrey']","['Joss Whedon', 'Jack Kirby', 'Stan Lee', 'Jane Wu']",PG-13
Incredibles 2,BV,182687905,4410,2018-06-15,260513,200000000,118.0,"['Action', 'Adventure', 'Animation', 'Family']","['Brad Bird', 'Adam Schnitzer', 'Alexander Curtis', 'Andy Grisdale', 'Arjun Rihan', 'Gregg Olsson', 'Jahkeeli Garnett', 'Jan Pfenninger', 'Leo Santos', 'Mark Sanford', 'Matthew Silas', 'Mike Leonard', 'Robert Kinkead', 'Ryan Heuett', 'Seong-Young Kim']","['John Lasseter', 'Nicole Paradis Grindle', 'John Walker', 'Natalie Lyon', 'Kevin Reher', 'Chris Wiggum', 'Terri Douglas', ""Sabine O'Sullivan"", 'Samantha Gurash', 'Briana Gardner', 'Emily Engie', 'Mia Stapleton', 'Chris Haynes', 'Alyssa Mar', 'Amanda Deering Jones', 'Gerisa Macale', 'Emily Goldsborough', 'Josh Lowden', 'Jonathan Null', 'Jon Bryant']","['Brad Bird', 'Dean Kelly', ""Brian Kalin O'Connell"", 'Sanjay Patel', 'Peter Sohn', 'Michael Daley', 'Ted Mathot', 'Mark Andrews', 'Michael Arndt', 'Kathryn Hendrickson', 'Megan Bartel', 'Austin Madison', 'Bill Presing', 'Bobby Rubio', 'Melody Cisinski', 'Octavio E. Rodriguez', 'Rosanna Sullivan']",PG
Captain America: Civil War,BV,179139142,4226,2016-05-06,271110,240000000,147.0,"['Adventure', 'Action', 'Science Fiction']","['Anthony Russo', 'Joe Russo', 'Joe Russo', 'David Leitch', 'Chad Stahelski']","['Kevin Feige', 'Alan Fine', 'Lars P. Winther', 'Mitchell Bell', ""Louis D'Esposito"", 'Stan Lee', 'Nate Moore', 'Henning Molfenter', 'Christoph Fisser', 'Charlie Woebcken', 'Patricia Whitcher', 'Victoria Alonso', 'Sarah Finn', 'Tara Feldstein', 'Chase Paris', 'Jason B. Stamey', 'Joel Thingvall', 'Lisa Fiorito', 'Trinh Tran']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby', 'Mark Millar']",PG-13
Iron Man 3,BV,174144585,4253,2013-05-03,68721,200000000,131.0,"['Action', 'Adventure', 'Science Fiction']",['Shane Black'],"['Kevin Feige', 'Jon Favreau', 'Stan Lee', 'Sarah Finn', 'Victoria Alonso', 'Stephen Broussard', ""Louis D'Esposito"", 'Alan Fine', 'Dan Mintz', 'Charles Newirth', 'Bing Wu', 'Wen-ge Xiao']","['Shane Black', 'Jack Kirby', 'Stan Lee', 'Drew Pearce']",PG-13
Harry Potter and the Deathly Hallows Part 2,WB,169189427,4375,2011-07-15,12445,125000000,130.0,"['Family', 'Fantasy', 'Adventure']",['David Yates'],"['David Barron', 'Fiona Weir']","['Steve Kloves', 'J.K. Rowling']",PG-13
Batman v Superman: Dawn of Justice,WB,166007347,4242,2016-03-25,209112,250000000,151.0,"['Action', 'Adventure', 'Fantasy']","['Zack Snyder', 'Kimi Webber', 'Amber Harley']","['Charles Roven', 'Deborah Snyder', 'Michael E. Uslan', 'Benjamin Melniker', 'Gregory Wilson', 'Curt Kanemoto', 'Wesley Coller', 'David S. Goyer', 'Geoff Johns', 'Christopher Nolan', 'Emma Thomas', 'Bruce Moriarty', 'Jo Edna Boldin', 'Kristy Carlson', 'Lora Kennedy', 'Marie A. Kohl', 'Caitlin Well', 'Joel Thingvall']","['Jay Oliva', 'David S. Goyer', 'Bob Kane', 'Jerry Siegel', 'Joe Shuster', 'Chris Terrio', 'Bill Finger', 'Frank Miller']",PG-13
The Dark Knight Rises,WB,160887295,4404,2012-07-20,49026,250000000,165.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Christopher Nolan', 'Steve Gehrke', 'Sid Karne', 'Nilo Otero', 'Matthew Reedy']","['Christopher Nolan', 'Charles Roven', 'Emma Thomas', 'Kevin De La Noy', 'Benjamin Melniker', 'Thomas Tull', 'Michael E. Uslan', 'John Papsidera', 'Toby Whale', 'Emmanuel Pappas', 'Michael Murray', 'Karl McMillan', 'Thomas Hayslip', 'Candice D. Campos', 'Mika Saito', 'Mark Somner', 'Joaquin Diego Prange', 'Vans Pradeep Singh Rathore', 'James A. Mahathey', 'Jonathan Hook', 'Mark Scoon', 'Dixie Webster', 'Jordan Goldberg', 'Dileep Singh Rathore', 'Barbara Harris']","['Bob Kane', 'Jonathan Nolan', 'Christopher Nolan', 'Christopher Nolan', 'David S. Goyer']",PG-13
The Dark Knight,WB,158411483,4366,2008-07-18,155,185000000,152.0,"['Drama', 'Action', 'Crime', 'Thriller']","['Steve Gehrke', 'Nilo Otero', 'Christopher Nolan']","['Christopher Nolan', 'Charles Roven', 'Emma Thomas', 'Thomas Tull', 'Michael E. Uslan', 'Kevin De La Noy', 'Benjamin Melniker', 'John Papsidera', 'Nicholas Gall', 'Lucinda Syson', 'Dennis Davidson', 'Lorne Orleans', 'Jordan Goldberg']","['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer', 'Bob Kane', 'Bill Finger', 'Jerry Robinson']",PG-13
The Hunger Games: Catching Fire,LGF,158074286,4163,2013-11-22,101299,130000000,146.0,"['Adventure', 'Action', 'Science Fiction']","['Francis Lawrence', 'Ana Maria Quintana', ""Aldric La'Auli Porter"", 'John R. Saunders']","['Nina Jacobson', 'Jon Kilik', 'Debra Zane', 'Suzanne Collins', 'Louise Rosner-Meyer', 'Allison Shearmur', ""Aldric La'Auli Porter"", 'Bryan Unkeless', 'Louise Rosner-Meyer', 'Donna Sloan', 'Adam McCarthy', 'John Sanchez', 'Ken Lavet', 'John McAlary', 'Tannis Vallely', 'Joseph Drake']","['Simon Beaufoy', 'Suzanne Collins', 'Michael Arndt']",PG-13
Rogue One: A Star Wars Story,BV,155081681,4157,2016-12-16,330459,200000000,133.0,"['Action', 'Adventure', 'Science Fiction']","['Gareth Edwards', 'Toby Hefferman']","['Simon Emanuel', 'Kathleen Kennedy', 'Allison Shearmur', 'Tony To', 'Jina Jay', 'Zakaria Alaoui', 'Kiri Hart', 'Finni Johannsson', 'John Knoll', 'Jason D. McGatlin', 'John Swartz']","['George Lucas', 'John Knoll', 'Chris Weitz', 'Gary Whitta', 'Tony Gilroy']",PG-13
Captain Marvel,BV,153433423,4310,2019-03-08,299537,152000000,124.0,"['Action', 'Adventure', 'Science Fiction']","['Ryan Fleck', 'Anna Boden', 'Lars P. Winther', 'Jeff Habberstad', 'Katy Galow', 'Kerry Lyn McKissick']","['Kevin Feige', 'Victoria Alonso', ""Louis D'Esposito"", 'Stan Lee', 'Jonathan Schwartz', 'Mary Livanos', 'Lars P. Winther', 'Patricia Whitcher', 'David J. Grant', 'Sarah Finn', 'Susan McNamara', 'Paddy Cullen']","['Gene Colan', 'Roy Thomas', 'Geneva Robertson-Dworet', 'Ryan Fleck', 'Anna Boden', 'Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']",PG-13
The Hunger Games,LGF,152535747,4137,2012-03-23,70160,75000000,142.0,"['Science Fiction', 'Adventure', 'Fantasy']","['Gary Ross', 'Dawn Gilliam', ""Aldric La'Auli Porter"", 'John R. Saunders', 'John Nasraway', 'Chad Stahelski', 'Scott Farrar', 'Jon Kilik', 'Peter Rodger', 'Steven Soderbergh', 'Alain Lacroix', 'Steve Pelchat']","['Nina Jacobson', 'Jon Kilik', 'Robin Bissell', 'Suzanne Collins', 'Louise Rosner-Meyer', 'Debra Zane', 'Chantal Feghali', ""Aldric La'Auli Porter"", 'Martin Cohen', 'Louis Phillips', 'Bryan Unkeless', 'Diana Alvarez', 'Louise Rosner-Meyer', 'Donna Sloan', 'Douglas Dresser', 'S. Todd Christensen', 'Alexandra N. Gonzalez', 'John Sanchez', 'Catie Cullari', 'Dax A. Cuesta', 'David M. Atkinson', 'Kristen Portanova', 'Tara Hummingbird Grey', 'Penni M.M. Smith', 'Casey Carmichael', 'Allyson R.A. Howard', 'Andrea Braswell', 'Andrea Braswell', 'Liam Hearne', 'Amanda Sutton', 'Doug Mackenzie', 'Ellen Pfirrmann', 'Jason King', 'Kate Emery', 'Eddie Mills', 'Chelsea Madison', 'Melissa Kostenbauder', 'Shayna Markowitz', 'Jackie Burch', 'Tona B. Dahlquist', 'T. Ryan Hill', 'Alicia R. Elliott', 'Caroline Livengood', 'Adrian Valdes', 'The Loop Squad', 'George Zidd', 'Ashley Farber', 'Ron Perez', 'Derek Schneider', 'Cameron Weaver', 'Pierrot Berube', 'Oliver Gravel', 'Belly Mingmuong', 'Caroline Belisle', 'Sylvie Talbot', 'Anne Tremblay', 'Deborah Zadzora', 'Allen Mascari', 'Karen Sidlow', 'Curtis A. Miller']","['Suzanne Collins', 'Gary Ross', 'Billy Ray', 'Suzanne Collins']",PG-13
Spider-Man 3,Sony,151116516,4252,2007-05-04,559,258000000,139.0,"['Fantasy', 'Action', 'Adventure']","['Sam Raimi', 'Trudy Ramirez']","['Avi Arad', 'Laura Ziskin', 'Grant Curtis', 'Joseph M. Caracciolo Jr.', 'Kevin Feige', 'Stan Lee', 'Kathy Driscoll', 'Francine Maisler', 'Richard Baratta', 'David J. Grant', 'Denis L. Stewart', 'Merry Alderman', 'Lavelle Brown', 'Will F. Moore', 'Neal Naito', 'Katie Taylor', 'Jeffrey Gafner', 'John Fedynich', 'Andrew Saxe', 'John DeSimone', 'Noelle Green', 'Greg Outcalt', 'V.W. Scheich']","['Stan Lee', 'Alvin Sargent', 'Steve Ditko', 'Sam Raimi', 'Ivan Raimi']",PG-13
Jurassic World: Fallen Kingdom,Uni.,148024610,4475,2018-06-22,351286,170000000,129.0,"['Action', 'Adventure', 'Science Fiction']","['J.A. Bayona', 'Jo Beckett', 'Erin Mast', 'Rebecca Sheridan', 'Claire Chang']","['Patrick Crowley', 'Belén Atienza', 'Thomas Hayslip', 'Frank Marshall', 'Steven Spielberg', 'Colin Trevorrow', 'Thomas Tull', 'Nina Gold', 'Holly Dorff', 'Judith Sunga', 'Martin Ware', 'Karen Woods', 'Laura Anderson', 'Linda Griffis', 'Emma Harman', 'Charles Larcombe', 'Sarah Minchin', 'Satu Sharp', 'Karen Margaux Walker', 'Owen Keys', 'Tom Ormerod', 'Leah Kaina', 'Trang Dang', 'Nolan B. Medrano', 'El West', 'Josh Nixon', 'Rebecca Feldman', 'David Blank', 'Marielena Alfonseca', 'Alex Kerr', 'Karen Bicknell', 'David Danisovszky', 'Michael Neal', 'Yasmine Jade', 'Natalie Cordray', 'Zack Dougan', 'Beau Harrington', 'Malia Hulleman', 'Simone Khoury', 'Corey Knef', 'Simon Lam', 'Miranda McClellan', 'Ariana Miyake', 'Matthew Mulligan', 'Rhianna Shaheen', 'Ryland Young', 'Matthew Ellis', 'Simon Mills', 'Tom Carson', 'David Halagarda', 'Miranda Marks', 'Robbie Torbuck', 'Lauren James', 'Danielle Rogers', 'Philipp Besa', 'Sharon M. Segal', 'Katherine Silva', 'Lisa Kisner', 'Grant Grabowski', 'Luke Paul Martin']","['Derek Connolly', 'Colin Trevorrow', 'Michael Crichton']",PG-13
Furious 7,Uni.,147187040,4004,2015-04-03,168259,190000000,137.0,"['Action', 'Crime', 'Thriller']","['James Wan', 'Jody Blose', 'Brenda K. Wachel']","['Vin Diesel', 'Neal H. Moritz', 'Samantha Vincent', 'F. Valentino Morales', 'Michael Fottrell', 'Brandon Birtell', 'Anne McCarthy', 'Kellie Roy', 'Chris Morgan']","['Chris Morgan', 'Gary Scott Thompson']",PG-13
Guardians of the Galaxy Vol. 2,BV,146510104,4347,2017-05-05,283995,200000000,137.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","['James Gunn', 'James Gunn']","['Kevin Feige', 'Lars P. Winther', ""Louis D'Esposito"", 'Stan Lee', 'Victoria Alonso', 'Nik Korda', 'Jonathan Schwartz', 'Simon Hatt', 'Sarah Finn', 'Tara Feldstein', 'Chase Paris', 'Jason B. Stamey', 'Barbara Harris']","['James Gunn', 'Dan Abnett', 'Andy Lanning']",PG-13
The Twilight Saga: New Moon,Sum.,142839137,4024,2009-11-20,18239,50000000,131.0,"['Adventure', 'Fantasy', 'Drama', 'Romance']",['Chris Weitz'],"['Bill Bannerman', 'Wyck Godfrey', 'Kerry Kohansky-Roberts', 'David Roker', 'Marty Bowen', 'Mark Morgan', 'Guy Oseary', 'Guido Cerasuolo', 'Sean Cossey', 'Rene Haynes', 'Karen Rosenfelt', 'Greg Mooradian']","['Melissa Rosenberg', 'Stephenie Meyer']",PG-13
The Twilight Saga: Breaking Dawn Part 2,LG/S,141067634,4070,2012-11-16,50620,120000000,115.0,"['Adventure', 'Fantasy', 'Drama', 'Romance']","['Bill Condon', 'Jessica Lichtner']","['Wyck Godfrey', 'Stephenie Meyer', 'Debra Zane', 'Karen Rosenfelt', 'Sean Cossey', 'J.J. Ogilvy', 'Pamela Pearl', 'Bill Bannerman', 'Marty Bowen', 'Barbara Kelly', 'Greg Mooradian', 'Mark Morgan', 'Guy Oseary']","['Stephenie Meyer', 'Melissa Rosenberg']",PG-13
The Twilight Saga: Breaking Dawn Part 1,Sum.,138122261,4061,2011-11-18,50619,110000000,117.0,"['Adventure', 'Fantasy', 'Romance']","['Bill Condon', 'Jessica Lichtner']","['J.J. Ogilvy', 'Pamela Pearl', 'Stephenie Meyer', 'Bill Bannerman', 'Marty Bowen', 'Wyck Godfrey', 'Barbara Kelly', 'Greg Mooradian', 'Mark Morgan', 'Guy Oseary', 'Karen Rosenfelt']","['Melissa Rosenberg', 'Stephenie Meyer', 'Stephenie Meyer']",PG-13
Pirates of the Caribbean: Dead Man's Chest,BV,135634554,4133,2006-07-07,58,200000000,151.0,"['Adventure', 'Fantasy', 'Action']",['Gore Verbinski'],"['Jerry Bruckheimer', 'Bruce Hendricks', 'Mike Stenson', 'Eric McLeod', 'Chad Oman', 'Peter Kohn', 'Pat Sandston', 'Denise Chamian']","['Ted Elliott', 'Terry Rossio', 'Ted Elliott', 'Terry Rossio']",PG-13
Finding Dory,BV,135060273,4305,2016-06-17,127380,200000000,97.0,"['Adventure', 'Animation', 'Comedy', 'Family']","['Andrew Stanton', 'Angus MacLane']","['Lindsey Collins', 'John Lasseter', 'Bob Roath', 'Natalie Lyon', 'Kevin Reher', 'Becky Neiman']","['Andrew Stanton', 'Victoria Strouse', 'Victoria Strouse', 'Andrew Stanton', 'Bob Peterson', 'Matt Jones']",PG
Suicide Squad,WB,133682248,4255,2016-08-05,297761,176000000,123.0,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","['David Ayer', 'Shane B. Scott']","['Charles Roven', 'Geoff Johns', 'Richard Suckle', 'Lindsay Graham', 'Mary Vernieu', 'Marisol Roncali', 'Jeanette Benzie']",['David Ayer'],PG-13
Deadpool,Fox,132434639,3558,2016-02-12,293660,58000000,108.0,"['Action', 'Adventure', 'Comedy']",['Tim Miller'],"['Ryan Reynolds', 'Simon Kinberg', 'Lauren Shuler Donner', 'Ronna Kress', 'Corinne Clark', 'Jennifer Page', ""Hannah d'Angerio"", 'Paul Wernick', 'Stan Lee']","['Rhett Reese', 'Paul Wernick', 'Jay Oliva', 'Fabian Nicieza', 'Rob Liefeld']",R
Iron Man 2,Par.,128122480,4380,2010-05-07,10138,200000000,124.0,"['Adventure', 'Action', 'Science Fiction']",['Jon Favreau'],"[""Louis D'Esposito"", 'Susan Downey', 'Jon Favreau', 'Alan Fine', 'David Maisel', 'Denis L. Stewart', 'Kevin Feige', 'Victoria Alonso', 'Jeremy Latcham', 'Stan Lee', 'Sarah Finn', 'Randi Hiller', 'Trinh Tran']","['Justin Theroux', 'Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']",PG-13
Deadpool 2,Fox,125507153,4349,2018-05-18,383498,110000000,121.0,"['Action', 'Comedy', 'Adventure']","['David Leitch', 'Ana Oparnica Sebal', 'Paul Barry']","['Simon Kinberg', 'Stan Lee', 'Rhett Reese', 'Ryan Reynolds', 'Lauren Shuler Donner', 'Aditya Sood', 'Paul Wernick', 'Marisol Roncali', 'Mary Vernieu', 'Johnny Gidcomb', 'Riva Cahn Thompson', 'Raylin Sabo', 'Ko Iwagami', 'Corinne Clark', 'Jennifer Page', 'Yumi Takada']","['Paul Wernick', 'Rhett Reese', 'Fabian Nicieza', 'Rob Liefeld', 'Ryan Reynolds']",R
Harry Potter and the Deathly Hallows Part 1,WB,125017372,4125,2010-11-19,12444,250000000,146.0,"['Adventure', 'Fantasy', 'Family']",['David Yates'],"['Lionel Wigram', 'David Barron', 'David Heyman', 'J.K. Rowling', 'Fiona Weir', 'Simon Emanuel']","['Steve Kloves', 'J.K. Rowling']",PG-13
It,WB (NL),123403419,4103,2017-09-08,346364,35000000,135.0,"['Horror', 'Thriller']","['Andy Muschietti', 'Adam Richard Benish', 'Adam Bocknek', 'Penny Charter', 'Richard Cowan', 'Jordana Lieberman', 'Nick Lopez', 'Andrew Pritchard', 'Shane B. Scott']","['Marty P. Ewing', 'Seth Grahame-Smith', 'David Katzenberg', 'Roy Lee', 'Dan Lin', 'Barbara Muschietti', 'Jon Silk', 'Rich Delia', 'Robin M. Reelis', 'Stephanie Gorin', 'Randy Morgan', 'Gail Marks', 'Walter Hamada']","['Stephen King', 'Cary Joji Fukunaga', 'Chase Palmer', 'Gary Dauberman']",R
Thor: Ragnarok,BV,122744989,4080,2017-11-03,284053,180000000,131.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Taika Waititi', 'Vincent Lascoumes', 'Ben Cooke', 'Kerry Lyn McKissick', 'Tom Hooper']","['Molly Doyle', 'Victoria Alonso', ""Louis D'Esposito"", 'Kevin Feige', 'Thomas M. Hammel', 'Stan Lee', 'Sarah Finn', 'Kirsty McGregor', 'Brian Chapek', 'Brad Winderbaum', 'Jennifer Cornwell', 'Jennifer Teves', 'Jamie Whitfield', 'Jason B. Stamey', 'Nicholas A. Mudd', 'Duncan Jones']","['Jay Oliva', 'Craig Kyle', 'Christopher Yost', 'Jack Kirby', 'Stan Lee', 'Larry Lieber', 'Eric Pearson']",PG-13
The Hunger Games: Mockingjay - Part 1,LGF,121897634,4151,2014-11-21,131631,125000000,123.0,"['Science Fiction', 'Adventure', 'Thriller']","['Francis Lawrence', 'Ana Maria Quintana', 'Christopher Surgent', 'Douglas Plasse', 'Charles Gibson']","['Nina Jacobson', 'Jon Kilik', 'Debra Zane', 'Ken Lavet', 'Arnaud Kaiser', 'Klaus Große Darrelmann', 'Anna L. Coats', 'Mac Gordon', 'Suzanne Collins', 'Jan Foster', 'Allison Shearmur', 'Bryan Unkeless', 'Jan Foster', 'Donna Sloan', 'Joseph Drake']","['Suzanne Collins', 'Danny Strong', 'Peter Craig', 'Suzanne Collins']",PG-13
Shrek the Third,P/DW,121629270,4122,2007-05-18,810,160000000,93.0,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']","['Chris Miller', 'Raman Hui']","['Andrew Adamson', 'Aron Warner', 'Denise Nolan Cascino', 'John H. Williams', 'Wayne Hellinger']","['Jeffrey Price', 'Peter S. Seaman', 'Jon Zack']",PG
Toy Story 4,BV,120908065,4575,2019-06-21,301528,175000000,100.0,"['Adventure', 'Animation', 'Comedy', 'Family']",['Josh Cooley'],"['Andrew Stanton', 'Lee Unkrich', 'Pete Docter', 'Jonas Rivera', 'Mark Nielsen']","['Stephany Folsom', 'Andrew Stanton', 'Martin Hynes', 'Rashida Jones', 'Valerie LaPointe', 'John Lasseter', 'Will McCormack']",G
Spider-Man: Homecoming,Sony,117027503,4348,2017-07-07,315635,175000000,133.0,"['Action', 'Adventure', 'Science Fiction', 'Drama']","['Jon Watts', 'Kerry Lyn McKissick']","['Kevin Feige', 'Amy Pascal', 'Stan Lee', 'Sarah Finn', 'Eric Hauserman Carroll', 'Leeann Stonebreaker', 'Nadia Paine', 'Don J. Hug', 'Kyle David Crosby', 'Matt Tolmach', 'Jason B. Stamey', 'Avi Arad']","['Steve Ditko', 'Stan Lee', 'John Francis Daley', 'Jonathan M. Goldstein', 'Erik Sommers', 'Chris McKenna', 'Christopher D. Ford', 'Jon Watts', 'Jonathan M. Goldstein', 'John Francis Daley', 'Jay Oliva', 'Andrea Datzman']",PG-13
Man of Steel,WB,116619362,4207,2013-06-14,49521,225000000,143.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['Zack Snyder'],"['Christopher Nolan', 'Jon Peters', 'Lloyd Phillips', 'Charles Roven', 'Deborah Snyder', 'Emma Thomas', 'Thomas Tull', 'Kristy Carlson', 'Lora Kennedy', 'Wesley Coller', 'Curt Kanemoto', 'Claire Simon']","['David S. Goyer', 'David S. Goyer', 'Christopher Nolan', 'Joe Shuster', 'Jerry Siegel', 'Jay Oliva']",PG-13
Minions,Uni.,115718405,4301,2015-07-10,211672,74000000,91.0,"['Family', 'Animation', 'Adventure', 'Comedy']","['Kyle Balda', 'Pierre Coffin']","['Janet Healy', 'Christopher Meledandri', 'Chris Renaud']","['Ken Daurio', 'Brian Lynch', 'Cinco Paul']",PG
