Title,Studio,Opening,Theaters,Date,Movie ID,Budget,Runtime,Genres,Directing,Producing,Writing,Rating
A Dog's Purpose,Uni.,18222810,3059,2017-01-27,381289,22000000,100.0,"['Comedy', 'Drama', 'Family', 'Fantasy']",['Lasse Hallström'],"['Alan C. Blomquist', 'Lauren Pfeiffer', 'Gavin Polone', 'Mark Sourian', 'John Papsidera', 'Deanna Brigidi', 'Bruce Winant', 'Kim Winther']","['W. Bruce Cameron', 'Cathryn Michon', 'W. Bruce Cameron', 'Audrey Wells', 'Maya Forbes', 'Wallace Wolodarsky']",PG
Cop Out,WB,18211126,3150,2010-02-26,23742,30000000,107.0,"['Action', 'Comedy', 'Crime']",['Kevin Smith'],"['Polly Johnsen', 'Marc Platt', 'Michael Tadross', 'Mark Cullen', 'Robb Cullen', 'Adam Siegel']","['Mark Cullen', 'Robb Cullen']",R
Rambo,LGF,18203876,2751,2008-01-25,7555,10000000,92.0,"['Action', 'Thriller']","['Sylvester Stallone', 'Rebecca Poulos', 'Navarutt Roongaroon']","['Avi Lerner', 'John Thompson', 'Danny Dimbort', 'Boaz Davidson', 'Trevor Short', 'Kevin King Templeton', 'Sheila Jaffe', 'Kevin Bernhardt', 'Peter Block', 'Randall Emmett', 'Jon Feltheimer', 'George Furla', 'Josef Lautenschlager', 'Florian Lechner', 'Russell D. Markowitz', ""Matthew O'Toole"", 'Christopher Petzel', 'Joachim Sturmes', 'Andreas Thiesmeyer', 'Bob Weinstein', 'Harvey Weinstein', 'Pasiree Panya', 'Matt Rubenstein', 'Susan Paley Abramson', 'Tanawat Punya']","['Art Monterastelli', 'Sylvester Stallone', 'David Morrell']",R
Star Trek VI: The Undiscovered Country,Par.,18162837,1804,1991-12-06,174,27000000,113.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Nicholas Meyer'],"['Steven-Charles Jaffe', 'Ralph Winter', 'Mary Jo Slater']","['Nicholas Meyer', 'Denny Martin Flinn']",PG
Swordfish,WB,18145632,2678,2001-06-08,9705,102000000,99.0,"['Action', 'Crime', 'Thriller']",['Dominic Sena'],"['Bruce Berman', 'Joel Silver', 'Jim Van Wyck', 'Paul Winze', 'Jonathan D. Krane']",['Skip Woods'],R
Mirror Mirror,Rela.,18132085,3603,2012-03-30,62764,85000000,106.0,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",['Tarsem Singh'],"['Jamie Marshall', 'Bernie Goldmann', 'Ryan Kavanaugh', 'Ken Halsband', 'Ajit Singh', 'Nico Soultanakis', 'Robbie Brenner', 'Jason Colbeck', 'Kevin Misher', 'Josh Pate', 'Tucker Tooley', 'Tommy Turtle', 'Jeff G. Waxman', 'Brett Ratner', 'Kerry Barden', 'Paul Schnee', 'Andy Berman', 'John Cheng']","['Jacob Grimm', 'Wilhelm Grimm', 'Jason Keller', 'Melisa Wallack', 'Marc Klein']",PG
A Haunted House,ORF,18101682,2160,2013-01-11,139038,2500000,86.0,"['Comedy', 'Horror']",['Michael Tiddes'],"['Rick Alvarez', 'Marlon Wayans', 'Mary Vernieu']","['Rick Alvarez', 'Marlon Wayans']",R
Ma (2019),Uni.,18099805,2808,2019-05-31,533642,10000000,90.0,"['Horror', 'Science Fiction']",['Lars Klevberg'],"['David Katzenberg', 'Seth Grahame-Smith', 'Aaron Schmidt', 'Chelsea Ellis Bloch']","['Tyler Burton Smith', 'Don Mancini']",R
Space Cowboys,WB,18093776,2805,2000-08-04,5551,65000000,130.0,"['Action', 'Adventure', 'Thriller']","['Clint Eastwood', 'Mable Lawson-McCrary', 'Robert Lorenz', 'Tom Rooker']","['Clint Eastwood', 'Andrew Lazar', 'Phyllis Huffman', 'Patricia Churchill', 'Daniel R. Chavez', 'Kokayi Ampah', 'Carla Aucoin', 'Liz Keigley', 'Sari E. Keigley', 'Janet Farris', 'Olivia Harris']","['Howard Klausner', 'Ken Kaufman']",PG-13
Sahara,Par.,18068372,3154,2005-04-08,7364,130000000,124.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","['Breck Eisner', 'Jean Bourne', 'Christopher Newman', 'Tarik Ait Ben Ali', 'Ben Howarth', 'Luis Casacuberta', 'E.J. Foerster', 'Tom Glaisyer']","['Howard Baldwin', 'Stephanie Austin', 'Karen Elise Baldwin', 'Mace Neufeld', 'Gus Gustawes', 'William J. Immerman', 'Matthew McConaughey', 'Scott Thaler', 'Chris Thompson', 'Nina Gold', 'Anne McCarthy', 'Mark Albela', 'David Barron', 'Henning Molfenter', 'Nick Morton', ""Denise O'Dell"", 'Mike Phillips', 'Thierry Potok', 'William H. Brown', 'Lis Kern', 'Andrew Reif', 'Vicki Dee Rock', 'Hafid Balafrej', 'Bill Barringer', 'Sophie Drouin', 'Katryna Samut-Tagliaferro', 'Scott Thaler', 'Vanessa Baker', 'Bacha', 'Christopher Russell', 'Mustapha Adidou', 'Elabdi Abdelhadi', 'Naima Alaoui', 'Ahmed Achouba', 'Usha Chaman', 'Diane Conn', 'Ben Pugh', 'Jan Hogevold', 'Ahmed Hajji', 'Mercedes Barbod', 'Kristine Bochum']","['Clive Cussler', 'Thomas Dean Donnelly', 'John C. Richards', 'James V. Hart', 'Joshua Oppenheimer']",PG-13
Bowfinger,Uni.,18062550,2706,1999-08-13,11353,55000000,97.0,['Comedy'],['Frank Oz'],"['Brian Grazer', 'Kathleen M. Courtney', 'Karen Kehela Sherwood', 'Bernard Williams', 'Margery Simkin', 'Bernard Williams']","['Steve Martin', 'Marc Baird']",PG-13
Exorcist: The Beginning,WB,18054001,2803,2004-08-20,11026,80000000,114.0,"['Horror', 'Mystery', 'Thriller']",['Renny Harlin'],"['Guy McElwaine', 'James G. Robinson', 'David C. Robinson', 'Pam Dixon']","['Alexi Hawley', 'William Wisher Jr.', 'Caleb Carr']",R
Red 2,LG/S,18048422,3016,2013-07-19,146216,84000000,116.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Dean Parisot', 'Anna Worley', 'Sharon Mansfield', 'Rob Burgess', 'Sean Guest', 'Cliff Lanning']","['Lorenzo Di Bonaventura', 'Mark Vahradian', 'Deborah Aquila', 'Tricia Wood', 'Elaine Grainger', 'Andrea Kenyon', 'Barbara Harris', 'Lisa Zagoria', 'Solomon Artistes', 'Samia Fadli', 'Marlene Philibert', 'Julie Breton', 'Trevor Bagge', 'Nessa King', 'Usha Chaman', 'Oscar J. Flores', 'Pota Manolakos', 'Natalie Moore', 'Diana Adams', 'Kevin Bujold', 'Anthony Coyne', 'Jean-Francois Hall', 'Christopher Setien Estevez', 'Laura Shaw', 'Tom Simpson', 'Jacob Smith', 'Raphaël Holt', 'Christopher M. Boyd', 'Sallie Beechinor', 'Yanie Salvas', 'John Sanchez', 'Jennifer Simonnet', 'Lebo ""Boo"" Motjuoadi', 'Stephanie Aubin', 'Anna Hinds', 'Maggy Belzile', 'Gabriel Lavina', 'Ronald Gilbert', 'Sergey Yahontov']","['Cully Hamner', 'Erich Hoeber', 'Jon Hoeber', 'Warren Ellis']",PG-13
